GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6011,"Colusa, CA",90,Manufacturing and information,(D),83649,91781,112399,148382,182267,160901,159806,160239,172718
6011,"Colusa, CA",91,Private goods-producing industries 2/,630818,544158,373441,480277,247408,334817,376438,333713,493133,458004
6011,"Colusa, CA",92,Private services-providing industries 3/,430686,670633,725658,742350,776994,955959,887072,857966,976806,1036521
6013,"Contra Costa, CA",1,All industry total,60443614,59471228,61746098,62865096,68280818,69208294,67278334,73049286,78720034,80217242
6013,"Contra Costa, CA",2,  Private industries,55857094,54904290,57143777,58032255,63204936,63866569,61664325,67282500,72798852,74126242
6013,"Contra Costa, CA",3,"    Agriculture, forestry, fishing and hunting",70605,91844,80239,(D),(D),(D),(D),(D),(D),(D)
6013,"Contra Costa, CA",6,"    Mining, quarrying, and oil and gas extraction",388632,476187,526047,494892,243781,251695,197153,31277,47947,32694
6013,"Contra Costa, CA",10,    Utilities,1920390,1958169,2280186,2400215,2619624,2630254,2466930,2326707,2856983,2921493
6013,"Contra Costa, CA",11,    Construction,1642047,1702245,2135809,2516921,2589413,2865508,3290461,3772936,3921552,3976317
6013,"Contra Costa, CA",12,    Manufacturing,17644479,14949824,14636177,12493302,14720046,12134059,7461679,10526978,13118100,11667860
6013,"Contra Costa, CA",13,      Durable goods manufacturing,889260,834187,894387,972278,942572,1026171,1055877,1114001,1125521,1150468
6013,"Contra Costa, CA",25,      Nondurable goods manufacturing,16755219,14115637,13741791,11521024,13777475,11107888,6405802,9412977,11992579,10517393
6013,"Contra Costa, CA",34,    Wholesale trade,1772219,1924488,2044459,2565004,3217645,3586194,3412284,3262090,3184048,3302665
6013,"Contra Costa, CA",35,    Retail trade,3097467,2909175,3004040,2988552,3072142,3269004,3327660,3415600,3440492,3578435
6013,"Contra Costa, CA",36,    Transportation and warehousing,773403,887296,903674,(D),(D),(D),(D),(D),(D),(D)
6013,"Contra Costa, CA",45,    Information,2689625,3021434,3173185,3528004,3557360,4170140,4429724,4691083,4759218,4992026
6013,"Contra Costa, CA",50,"    Finance, insurance, real estate, rental, and leasing",12152630,12474855,13157138,13897253,14939965,16123180,17289158,18555637,19769429,20940042
6013,"Contra Costa, CA",51,      Finance and insurance,3339582,3401069,3679944,3837409,4076537,4413064,4668678,5214400,5416856,5396992
6013,"Contra Costa, CA",56,      Real estate and rental and leasing,8813048,9073785,9477194,10059845,10863428,11710116,12620480,13341237,14352573,15543050
6013,"Contra Costa, CA",59,    Professional and business services,6159021,6636210,6949883,7586945,8279526,8114881,8396599,8771437,9281129,9600274
6013,"Contra Costa, CA",60,"      Professional, scientific, and technical services",4148929,4367690,4590792,4792111,4992200,4803478,4876938,5001899,5310703,5515223
6013,"Contra Costa, CA",64,      Management of companies and enterprises,678058,824999,783014,1236044,1489256,1490135,1490843,1489904,1578199,1651559
6013,"Contra Costa, CA",65,      Administrative and support and waste management and remediation services,1332034,1443521,1576078,1558790,1798071,1821268,2028819,2279634,2392227,2433492
6013,"Contra Costa, CA",68,"    Educational services, health care, and social assistance",5052267,5218786,5426189,5510660,5665021,6096978,6549356,6863930,7124207,7453240
6013,"Contra Costa, CA",69,      Educational services,466899,499056,518129,536118,540879,564515,621475,650301,653490,669182
6013,"Contra Costa, CA",70,      Health care and social assistance,4585367,4719730,4908060,4974541,5124141,5532464,5927881,6213629,6470716,6784058
6013,"Contra Costa, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",1334930,1444645,1615325,1645225,1796852,2005636,2179475,2279763,2355468,2522950
6013,"Contra Costa, CA",76,"      Arts, entertainment, and recreation",350718,384529,436824,395943,433521,426106,472607,501741,526515,552748
6013,"Contra Costa, CA",79,      Accommodation and food services,984212,1060117,1178500,1249282,1363331,1579530,1706868,1778022,1828954,1970202
6013,"Contra Costa, CA",82,    Other services (except government and government enterprises),1159380,1209133,1211425,1257638,1328356,1391835,1452335,1500329,1606479,1701206
6013,"Contra Costa, CA",83,Government and government enterprises,4586521,4566938,4602321,4832841,5075882,5341725,5614009,5766786,5921182,6091000
6013,"Contra Costa, CA",,Addenda:,,,,,,,,,,
